dead_run_id,agency_id,service_id,start_time,end_time,start_location_id,end_location_id,dist_traveled,block_id,shift_id
0XBPQuy35g_3701_340_370,41,3,05:40:00,06:10:00,000101,171790,21.100000000000001,3_3701,3701
0XBPQuy35g_3702_340_360,41,3,05:40:00,06:00:00,000101,170073,12.5,3_3702,3702
0XBPQuy35g_3702_655_670,41,3,10:55:00,11:10:00,000101,056531,7.9000000000000004,3_3746,3702
0XBPQuy35g_3703_355_385,41,3,05:55:00,06:25:00,000101,171790,21.100000000000001,3_3703,3703
0XBPQuy35g_3704_1067_1077,41,3,17:47:00,17:57:00,050359,000101,5.2999999999999998,3_3702,3704
0XBPQuy35g_3704_355_375,41,3,05:55:00,06:15:00,000101,172493,12.5,3_3704,3704
0XBPQuy35g_3704_760_780,41,3,12:40:00,13:00:00,000101,172601,12.5,3_3749,3704
0XBPQuy35g_3705_360_390,41,3,06:00:00,06:30:00,000101,176673,18.800000000000001,3_3705,3705
0XBPQuy35g_3706_370_390,41,3,06:10:00,06:30:00,000101,172493,12.5,3_3706,3706
0XBPQuy35g_3707_375_395,41,3,06:15:00,06:35:00,000101,172628,10.699999999999999,3_3707,3707
0XBPQuy35g_3708_1132_1157,41,3,18:52:00,19:17:00,171726,000101,16.5,3_3712,3708
0XBPQuy35g_3708_375_390,41,3,06:15:00,06:30:00,000101,171923,9.3000000000000007,3_3708,3708
0XBPQuy35g_3709_380_430,41,3,06:20:00,07:10:00,000101,171207,28.0,3_3709,3709
0XBPQuy35g_3709_927_932,41,3,15:27:00,15:32:00,170506,172492,2.0,3_3741,3709
0XBPQuy35g_3709_955_960,41,3,15:55:00,16:00:00,172492,170506,2.0,3_3741,3709
0XBPQuy35g_3710_380_410,41,3,06:20:00,06:50:00,000101,171496,21.600000000000001,3_3710,3710
0XBPQuy35g_3711_380_400,41,3,06:20:00,06:40:00,000101,170073,12.5,3_3711,3711
0XBPQuy35g_3711_715_730,41,3,11:55:00,12:10:00,000101,056531,7.9000000000000004,3_3748,3711
0XBPQuy35g_3712_385_410,41,3,06:25:00,06:50:00,000101,171725,16.899999999999999,3_3712,3712
0XBPQuy35g_3713_390_405,41,3,06:30:00,06:45:00,000101,170155,11.199999999999999,3_3713,3713
0XBPQuy35g_3714_390_420,41,3,06:30:00,07:00:00,000101,171861,21.199999999999999,3_3714,3714
0XBPQuy35g_3715_390_400,41,3,06:30:00,06:40:00,000101,050359,5.5,3_3715,3715
0XBPQuy35g_3716_1172_1202,41,3,19:32:00,20:02:00,171335,000101,20.199999999999999,3_3710,3716
0XBPQuy35g_3716_395_435,41,3,06:35:00,07:15:00,000101,171621,25.199999999999999,3_3716,3716
0XBPQuy35g_3717_395_410,41,3,06:35:00,06:50:00,000101,056531,7.9000000000000004,3_3717,3717
0XBPQuy35g_3718_395_445,41,3,06:35:00,07:25:00,000101,082007,32.899999999999999,3_3718,3718
0XBPQuy35g_3719_1217_1232,41,3,20:17:00,20:32:00,172481,000101,10.9,3_3726,3719
0XBPQuy35g_3719_400_420,41,3,06:40:00,07:00:00,000101,175364,12.6,3_3719,3719
0XBPQuy35g_3720_405_415,41,3,06:45:00,06:55:00,000101,050359,5.5,3_3720,3720
0XBPQuy35g_3721_410_430,41,3,06:50:00,07:10:00,000101,170197,12.1,3_3721,3721
0XBPQuy35g_3722_1147_1187,41,3,19:07:00,19:47:00,171207,000101,27.800000000000001,3_3722,3722
0XBPQuy35g_3722_410_430,41,3,06:50:00,07:10:00,000101,170271,13.699999999999999,3_3722,3722
0XBPQuy35g_3723_1132_1147,41,3,18:52:00,19:07:00,056531,000101,7.9000000000000004,3_3744,3723
0XBPQuy35g_3723_410_425,41,3,06:50:00,07:05:00,000101,172534,9.1999999999999993,3_3723,3723
0XBPQuy35g_3724_415_430,41,3,06:55:00,07:10:00,000101,171923,9.3000000000000007,3_3724,3724
0XBPQuy35g_3725_1142_1157,41,3,19:02:00,19:17:00,172533,000101,9.1999999999999993,3_3733,3725
0XBPQuy35g_3725_415_450,41,3,06:55:00,07:30:00,000101,080002,23.399999999999999,3_3725,3725
0XBPQuy35g_3726_1197_1232,41,3,19:57:00,20:32:00,080002,000101,23.399999999999999,3_3725,3726
0XBPQuy35g_3726_420_450,41,3,07:00:00,07:30:00,000101,171790,21.100000000000001,3_3726,3726
0XBPQuy35g_3727_1167_1187,41,3,19:27:00,19:47:00,170197,000101,12.699999999999999,3_3713,3727
0XBPQuy35g_3727_430_445,41,3,07:10:00,07:25:00,000101,172485,9.0999999999999996,3_3727,3727
0XBPQuy35g_3728_1162_1177,41,3,19:22:00,19:37:00,172483,000101,10.9,3_3735,3728
0XBPQuy35g_3728_430_450,41,3,07:10:00,07:30:00,000101,170653,14.6,3_3728,3728
0XBPQuy35g_3729_1222_1242,41,3,20:22:00,20:42:00,170073,000101,13.199999999999999,3_3715,3729
0XBPQuy35g_3729_430_450,41,3,07:10:00,07:30:00,000101,172493,12.5,3_3729,3729
0XBPQuy35g_3730_1157_1172,41,3,19:17:00,19:32:00,172482,000101,10.9,3_3748,3730
0XBPQuy35g_3730_435_450,41,3,07:15:00,07:30:00,000101,170821,9.1999999999999993,3_3730,3730
0XBPQuy35g_3731_1207_1222,41,3,20:07:00,20:22:00,171923,000101,8.8000000000000007,3_3708,3731
0XBPQuy35g_3731_445_460,41,3,07:25:00,07:40:00,000101,170821,9.1999999999999993,3_3731,3731
0XBPQuy35g_3732_1127_1147,41,3,18:47:00,19:07:00,172493,000101,13.199999999999999,3_3706,3732
0XBPQuy35g_3732_455_465,41,3,07:35:00,07:45:00,000101,171155,6.7999999999999998,3_3732,3732
