layover_id,agency_id,service_id,start_time,end_time,location_id,block_id,start_shift_id,end_shift_id
0XBPQuy35g_3701_1022_1030,41,3,17:02:00,17:10:00,172481,3_3701,3701,3734
0XBPQuy35g_3701_1082_1090,41,3,18:02:00,18:10:00,171789,3_3701,3734,3734
0XBPQuy35g_3701_412_420,41,3,06:52:00,07:00:00,172481,3_3701,3701,3701
0XBPQuy35g_3701_462_500,41,3,07:42:00,08:20:00,171789,3_3701,3701,3701
0XBPQuy35g_3701_542_550,41,3,09:02:00,09:10:00,172481,3_3701,3701,3701
0XBPQuy35g_3701_597_610,41,3,09:57:00,10:10:00,171789,3_3701,3701,3701
0XBPQuy35g_3701_662_670,41,3,11:02:00,11:10:00,172481,3_3701,3701,3703
0XBPQuy35g_3701_722_730,41,3,12:02:00,12:10:00,171789,3_3701,3703,3703
0XBPQuy35g_3701_782_790,41,3,13:02:00,13:10:00,172481,3_3701,3703,3701
0XBPQuy35g_3701_842_850,41,3,14:02:00,14:10:00,171789,3_3701,3701,3701
0XBPQuy35g_3701_902_910,41,3,15:02:00,15:10:00,172481,3_3701,3701,3701
0XBPQuy35g_3701_962_970,41,3,16:02:00,16:10:00,171789,3_3701,3701,3701
0XBPQuy35g_3702_427_435,41,3,07:07:00,07:15:00,050359,3_3702,3702,3702
0XBPQuy35g_3702_492_520,41,3,08:12:00,08:40:00,170073,3_3702,3702,3702
0XBPQuy35g_3702_587_605,41,3,09:47:00,10:05:00,050359,3_3702,3748,3748
0XBPQuy35g_3702_672_680,41,3,11:12:00,11:20:00,170073,3_3702,3748,3757
0XBPQuy35g_3702_747_765,41,3,12:27:00,12:45:00,050359,3_3702,3757,3757
0XBPQuy35g_3702_832_840,41,3,13:52:00,14:00:00,170073,3_3702,3757,3757
0XBPQuy35g_3702_907_925,41,3,15:07:00,15:25:00,050359,3_3702,3757,3757
0XBPQuy35g_3702_992_1000,41,3,16:32:00,16:40:00,170073,3_3702,3757,3704
0XBPQuy35g_3703_1012_1015,41,3,16:52:00,16:55:00,171789,3_3703,3723,3723
0XBPQuy35g_3703_1047_1050,41,3,17:27:00,17:30:00,170307,3_3703,3723,3765
0XBPQuy35g_3703_1082_1085,41,3,18:02:00,18:05:00,171789,3_3703,3765,3765
0XBPQuy35g_3703_1117_1120,41,3,18:37:00,18:40:00,170307,3_3703,3765,3765
0XBPQuy35g_3703_1152_1155,41,3,19:12:00,19:15:00,171789,3_3703,3765,3765
0XBPQuy35g_3703_1187_1190,41,3,19:47:00,19:50:00,170307,3_3703,3765,3765
0XBPQuy35g_3703_1222_1225,41,3,20:22:00,20:25:00,171789,3_3703,3765,3765
0XBPQuy35g_3703_1257_1260,41,3,20:57:00,21:00:00,170307,3_3703,3765,3765
0XBPQuy35g_3703_417_420,41,3,06:57:00,07:00:00,170307,3_3703,3703,3703
0XBPQuy35g_3703_452_455,41,3,07:32:00,07:35:00,171789,3_3703,3703,3703
0XBPQuy35g_3703_487_490,41,3,08:07:00,08:10:00,170307,3_3703,3703,3703
0XBPQuy35g_3703_522_525,41,3,08:42:00,08:45:00,171789,3_3703,3703,3703
0XBPQuy35g_3703_557_560,41,3,09:17:00,09:20:00,170307,3_3703,3703,3747
0XBPQuy35g_3703_592_595,41,3,09:52:00,09:55:00,171789,3_3703,3747,3747
0XBPQuy35g_3703_627_630,41,3,10:27:00,10:30:00,170307,3_3703,3747,3747
0XBPQuy35g_3703_662_665,41,3,11:02:00,11:05:00,171789,3_3703,3747,3747
0XBPQuy35g_3703_697_700,41,3,11:37:00,11:40:00,170307,3_3703,3747,3747
0XBPQuy35g_3703_732_735,41,3,12:12:00,12:15:00,171789,3_3703,3747,3747
