_id,agency_id,created_at,driver_id,latitude,longitude,operational_date,received_at,stop_id,trip_id,vehicle_id,geohash_5
702d6db67f23564a027ae02ceb0b43336011fa9ce4c1ec86a6ac92b69e0f5175,A2L1N,1788685793000,20703,38.64028549194336,-9.0979585647583,20260906,1788685793476,140049,4620_1_1|3700|0900,12510,eyceb
c789c0d68a9bd95db93b060b3dc44bfe2fb411f033c5d5668bce28cf893ba058,A2L1N,1788685809000,20703,38.64065933227539,-9.098237991333008,20260906,1788685809387,140049,4620_1_1|3700|0900,12510,eyceb
3d0f359e846d2255f4f8c5a8d84af8cb739f5a6e293bcfb33634bd68479a4fc0,A2L1N,1788685825000,20703,38.640811920166016,-9.098899841308594,20260906,1788685825473,140049,4620_1_1|3700|0900,12510,eyceb
44db18576d28f802d98502dc66b945b568dc2a6c4d066517b127e5a41a2e3d05,A2L1N,1788685841000,20703,38.64057922363281,-9.100088119506836,20260906,1788685841400,140049,4620_1_1|3700|0900,12510,eyceb
b5864e0b15304f2b9f909bab7e9c27659610a1bc8215a925acc79ef390aaa55f,A2L1N,1788685856000,20703,38.640342712402344,-9.101433753967285,20260906,1788685856402,140049,4620_1_1|3700|0900,12510,eyceb
62e57b954e1ea502525c71d5f5f2d90aad622acd220070dee3a7a76f12389adc,A2L1N,1788685875000,20703,38.64006423950195,-9.10329532623291,20260906,1788685875402,140049,4620_1_1|3700|0900,12510,eyceb
c802fae36b21c662dfa72d695ad7abd7c84cfbe770e86b89813b0f18e5ae0804,A2L1N,1788685875000,20703,38.64006423950195,-9.10329532623291,20260906,1788685875700,140021,4620_1_1|3700|0900,12510,eyceb
765a3c19c37a2464235618a15de11206401251aa0696ab465435183ab213e88a,A2L1N,1788685890000,20703,38.63985824584961,-9.103326797485352,20260906,1788685890480,140049,4620_1_1|3700|0900,12510,eyceb
c4cdfec9e3c3d3bb86aa0123963f2337b54aca4d45529675751c94837f525f16,A2L1N,1788685910000,20703,38.639774322509766,-9.103289604187012,20260906,1788685910490,140049,4620_1_1|3700|0900,12510,eyceb
86b6049207c0f2868b446a69a6116aaa7274cc9ffda2d2eba8d9d6b856cb8459,A2L1N,1788685925000,20703,38.63991928100586,-9.103175163269043,20260906,1788685925381,140049,4620_1_1|3700|0900,12510,eyceb
944f0b08b7134d0bf8bb6956d0ead3b388e0e3ee6aec75d464581ccce3563452,A2L1N,1788685940000,20703,38.63987350463867,-9.103233337402344,20260906,1788685940497,140049,4620_1_1|3700|0900,12510,eyceb
cc2fb1a5a6b1ddc9a53bb402699f33ec50ee458d6b89309637c103c8005e8de1,A2L1N,1788685955000,20703,38.63985824584961,-9.103233337402344,20260906,1788685955377,140049,4620_1_1|3700|0900,12510,eyceb
a3cae2e4140c2c98fe1cf38abbeee29d1b220c2ceabeb4fdc327b690fc6056d6,A2L1N,1788685968000,20703,38.63985824584961,-9.103233337402344,20260906,1788685968560,140049,4620_1_1|3700|0900,12510,eyceb
b171ecc1bb8f17222cd1f4e6f9cddecf0c39be1a0797a4f802e6c012ca37f5ed,A2L1N,1788685970000,20703,38.639869689941406,-9.103231430053711,20260906,1788685970413,140049,4620_1_1|3700|0900,12510,eyceb
9106cdbda6db02433947e0126e25faa101e5498f825a1f62405114b853e06d63,A2L1N,1788685994000,20703,38.63985824584961,-9.103322982788086,20260906,1788685994385,140049,4620_1_1|3700|0900,12510,eyceb
ababfef07cd5a85fbe70f0b6ceb903fd5e8448c0c88acf99fa809eee8889d716,A2L1N,1788686010000,20703,38.639896392822266,-9.102080345153809,20260906,1788686010395,140049,4620_1_1|3700|0900,12510,eyceb
bc0df2ccccd370646eebb8744319e37e06337d002d7c6d44a849cd45168bb209,A2L1N,1788686025000,20703,38.63958740234375,-9.101162910461426,20260906,1788686025489,140049,4620_1_1|3700|0900,12510,eyceb
a32f29c9c8f36d57c26761133042296fb6457ce8789c15ae3d064bf559dd7ea4,A2L1N,1788686040000,20703,38.6386833190918,-9.100828170776367,20260906,1788686040471,140049,4620_1_1|3700|0900,12510,eyceb
